运行名称,方向ID,方向词,类目提示,站点,时间范围_天,新品定义_天,样本数前N,头部商品前N,是否启用关键词趋势研究,是否启用市场调研,是否启用竞品基准研究,是否启用SIF补强,每个方向最大下推关键词数,每个方向最大候选样品数,备注
US_T01_Toy10TermsBatch_20260411,T01,toy,Toys & Games,US,30,180,100,10,是,是,否,否,20,10,T01 只用于当前 10 词 toy MARKET_DISCOVERY batch；shortlist 只允许使用输入 CSV 的 10 个词
US_T02_ClawMachine_20260410,T02,claw machine,Toys & Games,US,30,180,100,10,是,是,是,否,20,10,历史 T02 保留但不参与本轮 batch 运行
US_T03_ReverseMine_B07P44GKJR_20260410,T03,B07P44GKJR,Toys & Games,US,30,180,100,10,是,否,是,否,20,10,历史 T03 保留但不参与本轮 batch 运行
US_T04_SupplierBacksolve_Arcade_20260410,T04,toy novelty / arcade,Toys & Games,US,30,180,100,10,是,否,是,否,20,10,历史 T04 保留但不参与本轮 batch 运行
